school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
Tech Elevator,Cleveland,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95.0,73,96.7,83.0,93.2,94.5,0.0,1.4,6.8,4.1,65250.0,65500.0,73.6,73.9,17.6,17.4,8.8,8.7,0.0,0.0,Ohio
Tech Elevator,Columbus,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95.0,47,96.3,90.4,85.1,93.6,0.0,0.0,14.9,6.4,63050.0,65000.0,80.0,77.2,12.5,11.4,7.5,11.4,0.0,0.0,Ohio
Code Chrysalis,Tokyo,The Immersive Bootcamp,9700.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,84.0,40,93.0,88.9,52.5,72.5,0.0,0.0,37.5,17.5,41276.0,42382.0,80.0,78.7,5.0,7.1,15.0,14.3,0.0,0.0,Japan
Codeup,San Antonio - Vogue,Full-Stack Web Development,22500.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,200.0,66,75.0,100.0,59.1,84.8,1.5,1.5,39.4,13.6,54654.0,55750.0,89.4,89.1,2.6,3.6,5.3,5.5,2.6,1.8,Texas
Codeup,Dallas,Full-Stack Web Development-Java,22500.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/21/2020,170.0,17,100.0,100.0,50.0,75.0,0.0,0.0,50.0,25.0,52187.0,50000.0,100.0,93.3,0.0,0.0,0.0,6.7,0.0,0.0,Texas
Tech Elevator,Cincinnati,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95.0,34,89.7,97.1,64.8,76.5,5.8,8.8,14.7,0.0,60000.0,60000.0,90.9,92.3,9.1,7.7,0.0,0.0,0.0,0.0,Ohio
Codeup,Dallas,Full-Stack Web Development,22500.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,200.0,17,89.5,100.0,58.8,82.4,0.0,0.0,41.2,17.6,60000.0,53500.0,80.0,78.6,10.0,7.1,10.0,14.3,0.0,0.0,Texas
Code Platoon,Chicago,Full-Stack Web Development,15500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,120.0,55,91.8,98.2,64.2,84.9,0.0,0.0,34.0,13.2,88500.0,82500.0,26.5,26.1,11.8,10.9,11.8,17.4,50.0,45.7,Illinois
Launch Academy,Boston,Fundamentals of Web Development,17500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,90.0,15,57.7,93.3,64.3,92.9,0.0,0.0,35.7,7.1,70000.0,70000.0,33.4,46.1,33.3,23.1,33.3,23.1,0.0,7.7,Massachusetts
Codeup,San Antonio - Vogue,Data Science BootCamp,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1/1/2021,6/30/2021,200.0,36,94.7,100.0,63.9,86.1,2.8,2.8,33.3,11.1,61662.0,65000.0,56.5,64.5,13.0,9.7,21.7,19.4,8.7,6.5,Texas
