school_name,program_name,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,employed_infield_180days,median_annual_salary180days,Skill_Set,skill_group,cluster_skills
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9,128000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2,70000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Turing School of Software and Design,Front End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,80000.0,[],C,0
Juno College of Technology,Web Development Immersive,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,60000.0,"['html', 'css', 'javascript', 'jquery', 'reactjs', 'firebase', 'git', 'api']",I,2
The Tech Academy,Software Developer BootCamp,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,57000.0,"['csharp_net', 'html', 'css', 'javascript', 'sql', 'python']",J,0
The Tech Academy,Front-End Web Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,37440.0,"['html', 'css', 'javascript', 'git']",K,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4,124000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
The Tech Academy,Software Developer BootCamp,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,49920.0,"['csharp_net', 'html', 'css', 'javascript', 'sql', 'python']",J,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,65500.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
