school_name,campus_location,program_name,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days
The Tech Academy,Online,C# and .NET Boot Camp,1/1/2021,6/30/2021,Self-paced,33,57.1%,97.1%,51.5%,60.6%,12.1%,15.2%,21.2%,9.1%,"$37,440","$55,000",53.9%,53.3%,0.0%,0.0%,46.2%,46.7%,0.0%,0.0%
Codesmith,Remote,Part-Time Full-Stack Web Development,1/1/2021,6/30/2021,270,25,100.0%,89.3%,70.8%,87.5%,0.0%,0.0%,29.2%,12.5%,"$125,000","$125,000",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,99.8%
Tech Elevator,Philadelphia,Full-Stack Software Development,1/1/2021,6/30/2021,95,23,88.5%,100.0%,69.6%,91.3%,0.0%,0.0%,21.7%,0.0%,"$74,500","$75,000",31.3%,33.3%,37.5%,28.6%,25.0%,28.6%,6.2%,9.5%
Turing School of Software and Design,Online,Front End Engineering,7/1/2021,12/31/2021,220,59,74.4%,100.0%,72.3%,84.6%,1.5%,1.5%,24.6%,12.3%,"$82,500","$80,000",20.8%,21.4%,18.8%,17.9%,29.2%,30.4%,31.3%,30.4%
Juno College of Technology,Toronto,Web Development Immersive,1/1/2021,6/30/2021,77,123,94.0%,100.0%,59.3%,79.7%,1.6%,2.4%,39.0%,17.9%,"$56,160","$56,160",77.7%,78.7%,9.7%,9.7%,2.8%,2.9%,9.7%,8.7%
The Tech Academy,Online,Software Developer BootCamp,1/1/2021,6/30/2021,Self-paced,55,59.1%,96.5%,52.7%,63.6%,5.5%,5.5%,34.5%,23.6%,$0,"$57,500",72.2%,65.4%,5.6%,7.7%,16.7%,15.4%,5.6%,11.5%
The Tech Academy,Online,Software Developer BootCamp,1/1/2021,6/30/2021,Self-paced,55,59.1%,96.5%,52.7%,63.6%,5.5%,5.5%,34.5%,23.6%,$0,"$57,500",72.2%,65.4%,5.6%,7.7%,16.7%,15.4%,5.6%,11.5%
Juno College of Technology,Toronto,Data Analytics Bootcamp,7/1/2021,12/31/2021,77,26,100.0%,96.3%,26.9%,57.7%,7.7%,11.5%,65.4%,30.8%,"$70,000","$67,500",42.9%,53.3%,28.6%,26.7%,0.0%,6.7%,28.6%,13.3%
The Tech Academy,Online,Front-End Web Developernan,7/1/2021,12/31/2021,Self-paced,9,86.7%,100.0%,77.8%,88.9%,0.0%,0.0%,22.2%,11.1%,"$37,440","$39,720",100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
The Tech Academy,Online,C# and .NET Boot Camp,7/1/2021,12/31/2021,Self-paced,13,88.5%,100.0%,69.2%,69.2%,7.7%,7.7%,15.4%,15.4%,"$37,440","$55,016",100.1%,100.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Codesmith,Part Time Remote Immersive,Full-Stack Web Development,7/1/2021,12/31/2021,270,40,93.5%,93.0%,60.0%,87.5%,0.0%,0.0%,40.0%,12.5%,"$126,000","$137,600",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,99.9%
Tech Elevator,Wilmington,Full-Stack Software Development,7/1/2021,12/31/2021,95,7,70.0%,100.0%,28.5%,42.8%,28.6%,28.6%,28.6%,14.3%,"$65,000","$70,000",50.0%,33.3%,50.0%,66.7%,0.0%,0.0%,0.0%,0.0%
