school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
Codesmith,Remote,Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,100,91,92.80,96.80,52.70,83.50,0.00,0.00,47.30,16.50,"139,450","140,000",0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,
The Tech Academy,Online,Python Developer BootCamp,"9,540.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,Self-paced,16,78.30,100.00,56.30,68.80,0.00,0.00,31.30,18.80,0,"52,000",100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,
The Tech Academy,Online,C# and .NET Boot Camp,"9,540.00",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,Self-paced,33,57.10,97.10,51.50,60.60,12.10,15.20,21.20,9.10,"37,440","55,000",53.90,53.30,0.00,0.00,46.20,46.70,0.00,0.00,
Codesmith,Remote,Part-Time Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,270,25,100.00,89.30,70.80,87.50,0.00,0.00,29.20,12.50,"125,000","125,000",0.00,0.00,0.00,0.00,0.00,0.00,100.00,99.80,
Tech Elevator,Philadelphia,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95,23,88.50,100.00,69.60,91.30,0.00,0.00,21.70,0.00,"74,500","75,000",31.30,33.30,37.50,28.60,25.00,28.60,6.20,9.50,Pennsylvania
Turing School of Software and Design,Online,Front End Engineering,"25,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2021,12/31/2021,220,59,74.40,100.00,72.30,84.60,1.50,1.50,24.60,12.30,"82,500","80,000",20.80,21.40,18.80,17.90,29.20,30.40,31.30,30.40,
Juno College of Technology,Toronto,Web Development Immersive,"2,000.00",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,77,123,94.00,100.00,59.30,79.70,1.60,2.40,39.00,17.90,"56,160","56,160",77.70,78.70,9.70,9.70,2.80,2.90,9.70,8.70,Canada
The Tech Academy,Online,Software Developer BootCamp,"9,540.00",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,Self-paced,55,59.10,96.50,52.70,63.60,5.50,5.50,34.50,23.60,0,"57,500",72.20,65.40,5.60,7.70,16.70,15.40,5.60,11.50,
The Tech Academy,Online,Software Developer BootCamp,"9,540.00",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,Self-paced,55,59.10,96.50,52.70,63.60,5.50,5.50,34.50,23.60,0,"57,500",72.20,65.40,5.60,7.70,16.70,15.40,5.60,11.50,
Juno College of Technology,Toronto,Data Analytics Bootcamp,"2,000.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7/1/2021,12/31/2021,77,26,100.00,96.30,26.90,57.70,7.70,11.50,65.40,30.80,"70,000","67,500",42.90,53.30,28.60,26.70,0.00,6.70,28.60,13.30,Canada
